auditId,seriesId,seriesName,seasonYear,sessionType,dataCollection,metricFamily,sourceFamily,rowCount,currentAnalyticsArtifacts,currentUiOrContextExposure,unusedOrUnderusedSignal,proposedAnalysis,valueScore,confidence,sourceCaveat,utilizationStatus,rationale
collection:lapSamples,global,global,all,collection,lapSamples,lap_shape,canonical_dataset,70061,analysis/predictive-race-intelligence/output/context-packs/race-debriefs;analysis/indy-nxt-race-lap-section-enhancement/output/context-packs/indy-nxt-race-lap-section-context.json;analysis/indy-nxt-race-lap-section-enhancement/output/INDY_NXT_RACE_LAP_SECTION_ENHANCEMENT.md;analysis/imsa-daytona-stint-class-pace/output/context-packs/imsa-daytona-stint-class-context.json;analysis/imsa-daytona-stint-class-pace/output/IMSA_DAYTONA_STINT_CLASS_PACE.md;analysis/formula-ford-lap-shape/output/context-packs/formula-ford-lap-shape-context.json;analysis/formula-ford-lap-shape/output/FORMULA_FORD_LAP_SHAPE.md,"INDY NXT race lap microstates/segments, IMSA Daytona stint/class pace, and Formula Ford Bryce-only lap shape are productized.","No canonical lapSample source family remains unproductized; future value is through joins to context, incidents, qualifying, and track analogs.",Use generated lap context packs with source-shape labels; keep cross-series displays separated by source grain.,10.0,source_backed_partial_artifacts,"Lap sample grain differs by source: IMSA time cards, INDY NXT race lap charts, and Formula Ford Bryce-only lap-analysis blocks are not interchangeable.",partially_analyzed_more_value_remaining,Use generated lap context packs with source-shape labels; keep cross-series displays separated by source grain.
collection:racecraftEvents,global,global,all,collection,racecraftEvents,racecraft_context,canonical_dataset,39,analysis/context-event-narrative-layer/output/context-packs/context-event-narrative-context.json;analysis/context-event-narrative-layer/output/summary.json;analysis/context-event-narrative-layer/output/context_event_timeline.csv;analysis/context-event-narrative-layer/output/session_context_rollups.csv;analysis/context-event-narrative-layer/output/CONTEXT_EVENT_NARRATIVE_LAYER.md;analysis/predictive-race-intelligence/output/context-packs/race-debriefs,"Productized in the context-event timeline, session rollups, and context pack, plus existing debrief/source drawer tables.",Racecraft rows are now addressable as source-bounded context facts; remaining value comes from UI storytelling and lap/context joins.,Use the generated context-event pack for momentum/recovery narratives without unsupported overtake reconstruction.,7.5,source_backed_partial_artifacts,Not a full pass-by-pass telemetry feed.,partially_analyzed_more_value_remaining,Use the generated context-event pack for momentum/recovery narratives without unsupported overtake reconstruction.
collection:penalties,global,global,all,collection,penalties,incident_penalty_context,canonical_dataset,86,analysis/context-event-narrative-layer/output/context-packs/context-event-narrative-context.json;analysis/context-event-narrative-layer/output/summary.json;analysis/context-event-narrative-layer/output/context_event_timeline.csv;analysis/context-event-narrative-layer/output/session_context_rollups.csv;analysis/context-event-narrative-layer/output/CONTEXT_EVENT_NARRATIVE_LAYER.md;analysis/predictive-race-intelligence/output/context-packs/race-debriefs,"Productized as penalty rows in the context-event timeline and session rollups, with debrief/source drawer support.","Penalty type, lap, and position/time impact are now productized; downstream displays should keep no-row/source-coverage caveats visible.",Use generated context rows for debrief/event timelines and join to lap-shape deltas only where lap numbers exist.,7.0,source_backed_partial_artifacts,Penalty ledgers are uneven by series; absence is not proof of clean session unless source exposes no-penalty decisions.,partially_analyzed_more_value_remaining,Use generated context rows for debrief/event timelines and join to lap-shape deltas only where lap numbers exist.
collection:incidents,global,global,all,collection,incidents,incident_penalty_context,canonical_dataset,144,analysis/context-event-narrative-layer/output/context-packs/context-event-narrative-context.json;analysis/context-event-narrative-layer/output/summary.json;analysis/context-event-narrative-layer/output/context_event_timeline.csv;analysis/context-event-narrative-layer/output/session_context_rollups.csv;analysis/context-event-narrative-layer/output/CONTEXT_EVENT_NARRATIVE_LAYER.md;analysis/predictive-race-intelligence/output/context-packs/race-debriefs,"Productized as incident rows in the context-event timeline and session rollups, with debrief/source drawer support.",Caution/contact/mechanical context is now productized; remaining value is presentation and source-backed lap-position joins.,Use generated context rows for session storylines and only join to lap-position swings when both sources support it.,7.5,source_backed_partial_artifacts,"Incident rows are official summary/context, not video-confirmed root cause.",partially_analyzed_more_value_remaining,Use generated context rows for session storylines and only join to lap-position swings when both sources support it.
collection:weatherObservations,global,global,all,collection,weatherObservations,weather_context,canonical_dataset,199,analysis/context-event-narrative-layer/output/context-packs/context-event-narrative-context.json;analysis/context-event-narrative-layer/output/summary.json;analysis/context-event-narrative-layer/output/weather_condition_context.csv;analysis/context-event-narrative-layer/output/context_event_timeline.csv;analysis/context-event-narrative-layer/output/CONTEXT_EVENT_NARRATIVE_LAYER.md;analysis/predictive-race-intelligence/output/context-packs/career-lab-context.json;analysis/imsa-daytona-stint-class-pace/output/context-packs/imsa-daytona-stint-class-context.json,"Productized as weather/condition context rows with source, time, location, and join-confidence fields preserved.","Weather rows are now queryable by series/session/source family; future value is visual comparison, not additional backend extraction.",Use generated condition context with explicit source-confidence labels and avoid causal weather effects unless a later model validates them.,7.0,source_backed,INDY NXT has no official weather observations; non-official ambient weather needs labels.,productized_context_pack,"Weather rows are now queryable by series/session/source family; future value is visual comparison, not additional backend extraction."
collection:mediaAssets,global,global,all,collection,mediaAssets,narrative_context,canonical_dataset,1010,analysis/context-event-narrative-layer/output/context-packs/context-event-narrative-context.json;analysis/context-event-narrative-layer/output/summary.json;analysis/context-event-narrative-layer/output/media_narrative_index.csv;analysis/context-event-narrative-layer/output/context_event_timeline.csv;analysis/context-event-narrative-layer/output/CONTEXT_EVENT_NARRATIVE_LAYER.md;analysis/predictive-race-intelligence/output/context-packs/career-lab-context.json,Productized as a media narrative index and event/session context timeline with rights-status fields preserved.,Media rows are now source-indexed for narrative and source-drawer use; UI must still apply rights-status display rules.,"Use generated media index for storylines, source drawers, and milestone context while respecting rightsStatus.",6.5,source_backed,"Narrative evidence should support, not override, official result data.",productized_context_pack,Media rows are now source-indexed for narrative and source-drawer use; UI must still apply rights-status display rules.
collection:derivedMetrics,global,global,all,collection,derivedMetrics,section_pace,canonical_dataset,405,analysis/context-event-narrative-layer/output/context-packs/context-event-narrative-context.json;analysis/context-event-narrative-layer/output/summary.json;analysis/context-event-narrative-layer/output/derived_metric_context.csv;analysis/context-event-narrative-layer/output/CONTEXT_EVENT_NARRATIVE_LAYER.md;analysis/predictive-race-intelligence/output/indy_nxt_feature_matrix.csv;analysis/indy-nxt-section-lap-deep-dive/output/context-packs/indy-nxt-section-lap-context.json;analysis/indy-nxt-section-lap-deep-dive/output/INDY_NXT_SECTION_LAP_DEEP_DIVE.md;analysis/indy-nxt-race-lap-section-enhancement/output/context-packs/indy-nxt-race-lap-section-context.json;analysis/indy-nxt-race-lap-section-enhancement/output/INDY_NXT_RACE_LAP_SECTION_ENHANCEMENT.md,Productized through section-lap/race-section context packs and a full derived metric context index covering the 405 derivedMetric rows represented by this audit row.,All canonical derivedMetric rows are now addressable; deeper interpretation remains in the specialized section/race-lap lanes.,Route UI and analytics queries through generated context packs and specialized deep-dive artifacts rather than raw derivedMetric blobs.,10.0,source_backed,One INDY NXT Section Results holdout is source-corrupt; sparse denominators need suppression or badges.,productized_context_pack,All canonical derivedMetric rows are now addressable; deeper interpretation remains in the specialized section/race-lap lanes.
collection:sourceEvidence,global,global,all,collection,sourceEvidence,source_confidence,canonical_dataset,1266,analysis/context-event-narrative-layer/output/context-packs/context-event-narrative-context.json;analysis/context-event-narrative-layer/output/summary.json;analysis/context-event-narrative-layer/output/source_evidence_lineage.csv;analysis/context-event-narrative-layer/output/CONTEXT_EVENT_NARRATIVE_LAYER.md,"Productized as source-evidence lineage with source type, confidence tier, parser, raw-artifact, and license fields.",Source-family quality is now queryable; remaining value is visual/source-ops presentation.,"Use generated source lineage for confidence badges, source drawers, and review routing.",6.0,source_backed,"Source evidence is provenance metadata, not performance signal by itself.",productized_context_pack,Source-family quality is now queryable; remaining value is visual/source-ops presentation.
collection:gaps,global,global,all,collection,gaps,source_confidence,canonical_dataset,10,analysis/context-event-narrative-layer/output/gap_source_boundary_context.csv;analysis/context-event-narrative-layer/output/context-packs/context-event-narrative-context.json;analysis/context-event-narrative-layer/output/summary.json;analysis/ui-data-package/ui-data-package.json,Source Ops unavailable/deferred states plus context-pack-backed source-boundary rows.,All canonical gap rows are now productized as explicit source-boundary truth with row-level IDs and source states preserved.,Use gap_source_boundary_context.csv and the context-event pack for explicit blockers; do not turn gaps into inferred metrics.,5.0,source_backed,"A gap is a source-state fact, not a data failure by itself.",productized_context_pack,All canonical gap rows are now productized as explicit source-boundary truth with row-level IDs and source states preserved.
collection:broadcastRoutes,global,global,all,collection,broadcastRoutes,live_broadcast_context,canonical_dataset,0,,No canonical broadcast-route rows currently exist.,No current rows to analyze.,Keep classified as empty until ingestion populates broadcast-route rows.,2.0,inventory_only,Zero-row collection in the current canonical dataset; future rows should be reclassified by the audit.,not_worth_analyzing_with_rationale,Keep classified as empty until ingestion populates broadcast-route rows.
collection:notificationEvents,global,global,all,collection,notificationEvents,notification_context,canonical_dataset,0,,No canonical notification-event rows currently exist.,No current rows to analyze.,Keep classified as empty until ingestion/live systems populate notification-event rows.,2.0,inventory_only,Zero-row collection in the current canonical dataset; future rows should be reclassified by the audit.,not_worth_analyzing_with_rationale,Keep classified as empty until ingestion/live systems populate notification-event rows.
collection:notificationRules,global,global,all,collection,notificationRules,notification_context,canonical_dataset,0,,No canonical notification-rule rows currently exist.,No current rows to analyze.,Keep classified as empty until product rules are represented in canonical data.,2.0,inventory_only,Zero-row collection in the current canonical dataset; future rows should be reclassified by the audit.,not_worth_analyzing_with_rationale,Keep classified as empty until product rules are represented in canonical data.
focus:indy_nxt_practice_qualifying_section_lap,series_indy_nxt,INDY NXT,2024-2026,practice+qualifying,derivedMetrics,section_pace,official_section_results_pdf+official_top_section_times_pdf,113577,analysis/indy-nxt-section-lap-deep-dive/output/context-packs/indy-nxt-section-lap-context.json;analysis/indy-nxt-section-lap-deep-dive/output/context-packs/road-america-prep-context.json;analysis/indy-nxt-section-lap-deep-dive/output/practice_qualifying_bryce_section_observations.csv;analysis/indy-nxt-section-lap-deep-dive/output/practice_qualifying_top_section_times.csv;analysis/indy-nxt-section-lap-deep-dive/output/INDY_NXT_SECTION_LAP_DEEP_DIVE.md,Productized as source-hash validated section-lap and Road America context packs.,"Executed: practice/qualifying section-result payload had 50679 car-lap entries and 459363 section entries; Top Section Times added 120 metrics, 4053 section blocks, and 62898 nested rows.",Use the generated context packs for prep/debrief/career-lab queries; keep low-denominator and no-point-prediction display rules.,10.0,source_backed_productized,Section rows are official PDFs but sparse/format-specific; low denominators are suppressed and context packs avoid point predictions.,productized_context_pack,"Executed by analysis/indy-nxt-section-lap-deep-dive with validator-backed CSV, JSON, report, and context-pack artifacts."
focus:indy_nxt_race_lap_section_enhancement,series_indy_nxt,INDY NXT,2024-2026,race,lapSamples+derivedMetrics,lap_shape+section_pace,official_lap_chart_pdf+official_section_results_pdf,74021,analysis/indy-nxt-race-lap-section-enhancement/output/context-packs/indy-nxt-race-lap-section-context.json;analysis/indy-nxt-race-lap-section-enhancement/output/context-packs/road-america-race-context.json;analysis/indy-nxt-race-lap-section-enhancement/output/race_lap_microstates.csv;analysis/indy-nxt-race-lap-section-enhancement/output/race_section_lap_observations.csv;analysis/indy-nxt-race-lap-section-enhancement/output/INDY_NXT_RACE_LAP_SECTION_ENHANCEMENT.md,"Productized as source-hash validated lap microstates, caution-aware segments, inflection points, clean race-section summaries, and Road America race context packs.","Executed: official race lap/section data covered 31894 lap samples and 42127 section car-lap rows; generated lap microstates, caution-aware segments, inflection points, and clean race-section context.",Use the generated post-race context packs for debrief and Career Lab drilldowns; keep live/future claims separate.,9.5,source_backed_productized,28/40 Bryce result races have complete validated lap charts; 10 partial-visible sessions; 2 result sessions have no Bryce lap rows in canonical lapSamples; context packs are post-race descriptive only.,productized_context_pack,"Executed by analysis/indy-nxt-race-lap-section-enhancement with validator-backed CSV, JSON, report, and context-pack artifacts."
focus:imsa_daytona_stint_class_pace,series_imsa_weathertech,IMSA WeatherTech SportsCar Championship,2025,race,lapSamples,stint_class_pace,official_alkamel_time_cards,37885,analysis/imsa-daytona-stint-class-pace/output/context-packs/imsa-daytona-stint-class-context.json;analysis/imsa-daytona-stint-class-pace/output/summary.json;analysis/imsa-daytona-stint-class-pace/output/imsa_lap_observations.csv;analysis/imsa-daytona-stint-class-pace/output/imsa_stint_summary.csv;analysis/imsa-daytona-stint-class-pace/output/imsa_car85_codriver_pace.csv;analysis/imsa-daytona-stint-class-pace/output/bryce_imsa_stint_context.csv;analysis/imsa-daytona-stint-class-pace/output/IMSA_DAYTONA_STINT_CLASS_PACE.md,"Productized as source-hash validated Daytona time-card lap observations, stint summaries, car 85 co-driver pace, Bryce stint context, and class-hour context pack.",Executed: official IMSA time cards have 37885 race lap samples; generated stint/class/co-driver pace artifacts with source-bounded display rules.,"Use generated Daytona stint/class/co-driver context pack for Career Lab and standalone IMSA storytelling; do not claim telemetry, strategy root cause, or future forecast.",8.5,source_backed_productized,"Sports-car co-driver grain differs from formula single-driver race rows; time cards do not expose running order, telemetry, or strategy notes.",productized_context_pack,"Executed by analysis/imsa-daytona-stint-class-pace with validator-backed CSV, JSON, report, and context-pack artifacts."
focus:formula_ford_lap_shape,series_formula_ford,Formula Ford,2020,qualifying+heat+race,lapSamples,lap_shape,official_tsl_lap_analysis_pdf,282,analysis/formula-ford-lap-shape/output/context-packs/formula-ford-lap-shape-context.json;analysis/formula-ford-lap-shape/output/summary.json;analysis/formula-ford-lap-shape/output/formula_ford_lap_observations.csv;analysis/formula-ford-lap-shape/output/formula_ford_session_lap_shape.csv;analysis/formula-ford-lap-shape/output/formula_ford_event_progression.csv;analysis/formula-ford-lap-shape/output/FORMULA_FORD_LAP_SHAPE.md,"Productized as source-hash validated Bryce-only lap observations, session lap-shape summaries, event progression, condition context, and context pack.","Executed: Formula Ford has 282 Bryce-only lap samples across 24 sessions; generated lap-shape, consistency, event, and condition-context artifacts.",Use generated Formula Ford lap-shape context pack for Career Lab with Bryce-only and continuation-page caveats.,7.5,source_backed_productized,Bryce-only labeled blocks; continuation pages without repeated Bryce label require ingestion/parser approval before expansion.,productized_context_pack,"Executed by analysis/formula-ford-lap-shape with validator-backed CSV, JSON, report, and context-pack artifacts."
focus:non_lap_context_events,multi,Multi-series,2019-2026,race+event,racecraftEvents+penalties+incidents+weatherObservations+mediaAssets,race_context+narrative_context,official_reports+media_sources+source_evidence_lineage,1478,analysis/context-event-narrative-layer/output/context-packs/context-event-narrative-context.json;analysis/context-event-narrative-layer/output/summary.json;analysis/context-event-narrative-layer/output/context_event_timeline.csv;analysis/context-event-narrative-layer/output/session_context_rollups.csv;analysis/context-event-narrative-layer/output/series_context_coverage.csv;analysis/context-event-narrative-layer/output/weather_condition_context.csv;analysis/context-event-narrative-layer/output/media_narrative_index.csv;analysis/context-event-narrative-layer/output/source_evidence_lineage.csv;analysis/context-event-narrative-layer/output/derived_metric_context.csv;analysis/context-event-narrative-layer/output/gap_source_boundary_context.csv;analysis/context-event-narrative-layer/output/CONTEXT_EVENT_NARRATIVE_LAYER.md,"Productized as source-hash validated context timeline, session/series rollups, weather context, media index, source lineage, derived metric index, and context pack.","Executed: non-lap contextual data is now queryable for race-weekend prep, debrief timelines, Career Lab source drawers, and narrative context without inventing telemetry.","Use generated context-event/narrative artifacts for source-backed storylines, source drawers, rights-aware media displays, and condition context.",8.0,source_backed_productized,Official source coverage differs by series; absence is not proof unless no-row source is explicit.,productized_context_pack,"Executed by analysis/context-event-narrative-layer with validator-backed CSV, JSON, report, and context-pack artifacts."
focus:career_dimension_qualifying_context,multi,Multi-series,2019-2026,result+qualifying+dimension,results+qualifyingResults+teams+tracks+drivers+cars,result_context+qualifying_conversion+team_track_driver_car_context,canonical_results+canonical_qualifying_results+canonical_dimensions+same_event_race_results,11377,analysis/career-dimension-context-layer/output/context-packs/career-dimension-context.json;analysis/career-dimension-context-layer/output/summary.json;analysis/career-dimension-context-layer/output/result_context.csv;analysis/career-dimension-context-layer/output/qualifying_result_context.csv;analysis/career-dimension-context-layer/output/qualifying_session_conversion_summary.csv;analysis/career-dimension-context-layer/output/team_dimension_context.csv;analysis/career-dimension-context-layer/output/team_era_context.csv;analysis/career-dimension-context-layer/output/track_venue_context.csv;analysis/career-dimension-context-layer/output/track_archetype_analog_context.csv;analysis/career-dimension-context-layer/output/driver_cohort_context.csv;analysis/career-dimension-context-layer/output/car_entrant_context.csv;analysis/career-dimension-context-layer/output/CAREER_DIMENSION_CONTEXT_LAYER.md,"Productized as source-hash validated full-field result context, qualifying conversion context, team/team-era context, track venue/analog context, driver cohort context, and car/entrant context.","Executed: the remaining result, qualifying, and dimension collections are now queryable without creating unsupported ratings, setup conclusions, or point forecasts.","Use generated dimension context pack and result_context.csv for prep, Career Lab filters, source-backed analogs, teammate overlap, result exploration, and qualifying conversion analysis.",8.8,source_backed_productized,"Qualifying formats, cross-series fields, and venue metadata differ; outputs are descriptive context and source-bounded conversion joins.",productized_context_pack,"Executed by analysis/career-dimension-context-layer with validator-backed CSV, JSON, report, and context-pack artifacts."
